  af | 07/16/2026 | 21:02:46 | Temperature #0x04 | Upper Non-critical going high | Deasserted
  b0 | 07/16/2026 | 21:14:09 | System Boot Initiated #0x60 | System Restart | Asserted
  b1 | 07/16/2026 | 22:48:12 | System Boot Initiated #0x60 | System Restart | Asserted
  b2 | 07/16/2026 | 22:51:43 | System Boot Initiated #0x60 | System Restart | Asserted
  b3 | 07/16/2026 | 22:53:39 | System Boot Initiated #0x60 | System Restart | Asserted
  b4 | 07/16/2026 | 23:15:18 | Processor #0x32 | State Asserted | Asserted
  b5 | 07/16/2026 | 23:15:41 | Temperature #0x04 | Upper Non-critical going high | Asserted
  b6 | 07/17/2026 | 04:25:59 | Processor #0x32 | State Asserted | Deasserted
  b7 | 07/17/2026 | 04:32:45 | Temperature #0x04 | Upper Non-critical going high | Deasserted
  b8 | 07/17/2026 | 04:54:06 | Processor #0x32 | State Asserted | Asserted
  b9 | 07/17/2026 | 04:54:31 | Temperature #0x04 | Upper Non-critical going high | Asserted
  ba | 07/17/2026 | 06:41:30 | Processor #0x32 | State Asserted | Deasserted
  bb | 07/17/2026 | 06:54:59 | Temperature #0x04 | Upper Non-critical going high | Deasserted
  bc | 07/17/2026 | 07:13:31 | Processor #0x32 | State Asserted | Asserted
  bd | 07/17/2026 | 07:13:54 | Temperature #0x04 | Upper Non-critical going high | Asserted
  be | 07/17/2026 | 12:14:56 | Processor #0x32 | State Asserted | Deasserted
  bf | 07/17/2026 | 12:23:23 | Temperature #0x04 | Upper Non-critical going high | Deasserted
  c0 | 07/17/2026 | 14:19:36 | System Boot Initiated #0x60 | System Restart | Asserted
  c1 | 07/17/2026 | 14:20:36 | Slot / Connector #0x76 | Identify Status | Asserted
  c2 | 07/17/2026 | 14:24:44 | System Boot Initiated #0x60 | System Restart | Asserted
  c3 | 07/17/2026 | 14:26:37 | System Boot Initiated #0x60 | System Restart | Asserted
  c4 | 07/17/2026 | 14:34:47 | System Boot Initiated #0x60 | System Restart | Asserted
  c5 | 07/17/2026 | 14:39:13 | System Boot Initiated #0x60 | System Restart | Asserted
  c6 | 07/17/2026 | 15:08:57 | Processor #0x32 | State Asserted | Asserted
  c7 | 07/17/2026 | 15:09:02 | Processor #0x32 | State Asserted | Deasserted
  c8 | 07/17/2026 | 15:09:07 | Temperature #0x04 | Upper Non-critical going high | Asserted
  c9 | 07/17/2026 | 15:09:09 | Processor #0x32 | State Asserted | Asserted
  ca | 07/17/2026 | 15:09:18 | Temperature #0x04 | Upper Non-critical going high | Deasserted
  cb | 07/17/2026 | 15:09:20 | Processor #0x32 | State Asserted | Deasserted
  cc | 07/17/2026 | 15:09:23 | Temperature #0x04 | Upper Non-critical going high | Asserted
  cd | 07/17/2026 | 15:09:24 | Processor #0x32 | State Asserted | Asserted
  ce | 07/17/2026 | 15:09:32 | Temperature #0x04 | Upper Non-critical going high | Deasserted
  cf | 07/17/2026 | 15:09:33 | Processor #0x32 | State Asserted | Deasserted
  d0 | 07/17/2026 | 15:09:34 | Temperature #0x04 | Upper Non-critical going high | Asserted
  d1 | 07/17/2026 | 15:09:36 | Temperature #0x04 | Upper Non-critical going high | Deasserted
  d2 | 07/19/2026 | 06:25:09 | System Boot Initiated #0x60 | System Restart | Asserted
  d3 | 07/20/2026 | 11:31:37 | System ACPI Power State #0x5b | S4/S5: soft-off | Asserted
  d4 | 07/20/2026 | 11:36:24 | System Boot Initiated #0x60 | System Restart | Asserted
  d5 | 07/20/2026 | 11:36:24 | System ACPI Power State #0x5b | S0/G0: working | Asserted
  d6 | 07/20/2026 | 11:36:27 | Processor #0x36 | Presence detected | Asserted
  d7 | 07/20/2026 | 11:36:27 | Processor #0x37 | Presence detected | Asserted
  d8 | 07/20/2026 | 11:36:27 | Microcontroller #0x70 | Device Enabled | Asserted
  d9 | 07/20/2026 | 11:36:27 | Power Supply #0x79 | Presence detected | Asserted
  da | 07/20/2026 | 11:36:27 | Cooling Device #0x81 | Device Absent | Asserted
