Inlet Temp       | no reading        | ns
Watchdog2        | 0x00              | ok
Mngmnt Health    | 0x00              | ok
UID Button       | 0x00              | ok
PwrOk Sig. Drop  | 0x00              | ok
PwrOn TimeOut    | 0x00              | ok
PwrCap Status    | 0x00              | ok
HDD Backplane    | 0x00              | ok
HDD BP Status    | 0x00              | ok
Riser1 Card      | 0x00              | ok
Riser2 Card      | 0x00              | ok
Riser3 Card      | 0x00              | ok
SAS Cable        | 0x00              | ok
RAID Presence    | 0x00              | ok
CPU Usage        | 0x00              | ok
Memory Usage     | 0x00              | ok
PS Redundancy    | 0x00              | ok
BMC Boot Up      | 0x00              | ok
BMC Time Hopping | 0x00              | ok
NTP Sync Failed  | 0x00              | ok
SEL Status       | 0x00              | ok
Op. Log Full     | 0x00              | ok
Sec. Log Full    | 0x00              | ok
Host Loss        | 0x00              | ok
Cert OverDue     | 0x00              | ok
RTC Time         | 0x00              | ok
RAID Status      | 0x00              | ok
RAID PCIE ERR    | 0x00              | ok
DISK0            | 0x00              | ok
DISK1            | 0x00              | ok
DISK2            | 0x00              | ok
DISK3            | 0x00              | ok
DISK4            | 0x00              | ok
DISK5            | 0x00              | ok
DISK6            | 0x00              | ok
DISK7            | 0x00              | ok
DISK8            | 0x00              | ok
DISK9            | 0x00              | ok
DISK10           | 0x00              | ok
DISK11           | 0x00              | ok
DISK40           | 0x00              | ok
DISK41           | 0x00              | ok
DISK42           | 0x00              | ok
DISK43           | 0x00              | ok
NIC1-1 Link Down | 0x00              | ok
NIC1-2 Link Down | 0x00              | ok
NIC1-3 Link Down | 0x00              | ok
NIC1-4 Link Down | 0x00              | ok
PS2 Status       | 0x00              | ok
PS2 Fan Status   | 0x00              | ok
PS2 Temp Status  | 0x00              | ok
RTC Battery      | 0x00              | ok
FAN1 Status      | Not Readable      | ns
FAN2 Status      | 0x00              | ok
FAN3 Status      | 0x00              | ok
FAN4 Status      | Not Readable      | ns
FAN1 Presence    | 0x00              | ok
FAN2 Presence    | 0x00              | ok
FAN3 Presence    | 0x00              | ok
FAN4 Presence    | 0x00              | ok
